"galaxy number" x y "aperture radius" "galaxy type" counts "counts error" background magnitude "magnitude error"
1 534 1395 21.920310216782973 E0 2240512.8684531054 1496.8342822280313 3433.018270401949 9.424131393400861 0.007462338950732923
2 575 1838 21.213203435596427 E1 1876135.4939759043 1369.7209547845519 3430.014584654407 9.616839500498521 0.0076177673552238895
3 346 2200 22.62741699796952 E0 2422928.2227488146 1556.5758005149685 3431.687203791469 9.339148628219833 0.007393999002849486
4 1672 478 20.50609665440988 E1 2414511.5485893413 1553.8698621793721 3426.1473354231975 9.342926782579122 0.0073970348833717345
5 88 3823 20.50609665440988 E1 1313052.3004484307 1145.8849420637443 3428.0224215246635 10.004294937739385 0.007932777836837247
6 604 2163 20.50609665440988 E1 1574605.7403245945 1254.832953155357 3430.466916354557 9.80707042410793 0.0077719475787964825
7 866 1554 19.79898987322333 E1 1288845.264516129 1135.2732113972077 3427.1432258064515 10.02449804951916 0.007949318606375377
8 794 3273 34.648232278140824 E4 1419838.1189573458 1191.5696030687195 3435.0289099526067 9.91940292082266 0.007863414006326055
9 2178 3745 21.0 E1 1365853.652982681 1168.6974172054463 3423.685695958948 9.961489578698714 0.007897774848850755
10 108 744 19.79898987322333 E0 1314240.2114942526 1146.4031627199274 3435.0873563218393 10.003313122343872 0.007931974336349899
11 477 4215 17.67766952966369 E1 759549.5296191818 871.5213879298556 3427.611424541608 10.598609752202307 0.008426347812364504
12 1832 1461 16.5 E1 721039.8187337377 849.1406354272169 3425.9618386817 10.655101877803252 0.008474222707083394
13 1323 50 10.0 E7 461495.98253275116 679.334956065674 3422.161572052402 11.139580188228173 0.008895294261872305
14 1698 188 16.5 E1 884857.8135215451 940.6688118150538 3420.8907875185737 10.432816274566315 0.008286962371255887
15 2285 991 15.556349186104045 E1 712810.876451078 844.281278041316 3425.398839137645 10.66756420555559 0.008484812523388747
16 260 2331 25.5 E1 870194.7530017155 932.8422980341937 3425.080045740423 10.450958849233373 0.008302139998645673
17 2160 3197 62.22539674441619 E3 2234863.0352288503 1494.9458301988238 3431.682108183079 9.426872719212678 0.007464545339705159
18 265 3497 23.33452377915607 E3 867262.2684114426 931.2691707618387 3425.158855751674 10.454623869632298 0.008305208184197629
19 483 4122 16.263455967290593 E1 507794.58196721284 712.5970684525813 3427.415052160954 11.035779843109736 0.008803215824520587
20 755 3106 16.263455967290593 E0 553251.3360258483 743.8086689638998 3438.0008077544426 10.94269382159506 0.00872160007235749
21 1577 4398 14.849242404917497 E0 432554.29308323574 657.6885988697354 3424.991793669402 11.209898433176566 0.00895838002170674
22 584 1641 16.263455967290593 E1 554048.9473684209 744.344642869431 3430.2105263157896 10.941129664744889 0.008720235828285574
23 911 400 16.970562748477143 E1 587195.962194218 766.2871277753646 3434.8673091178653 10.878042348681937 0.00866539772270011
24 2359 3115 13.435028842544403 E1 350331.79266750964 591.8883278689567 3423.577749683944 11.438801121496416 0.009168364307426171
25 568 2256 17.0 E1 414259.83835182263 643.6302031072055 3426.931061806656 11.256817921567462 0.009000819591092923
26 1435 17 4.242640687119285 E7 139385.11702127662 373.34316254791196 3420.7340425531916 12.43945898992429 0.010227978501185847
27 1314 1681 28.284271247461902 E1 1223863.9758203798 1106.283858609706 3436.5716753022452 10.08066712098546 0.00799537678017943
28 901 1588 14.142135623730951 E1 396629.7478991597 629.7854776820117 3427.5100840336136 11.30403679022874 0.009043827421276133
29 1831 1553 13.435028842544403 E1 375419.67750213854 612.7150051223966 3422.721129170231 11.36370741927983 0.009098628995340856
30 1184 2234 13.5 E1 350163.72996515676 591.7463392072289 3427.423344947735 11.439322100598266 0.009168851261810704
31 134 1538 14.849242404917497 E1 402135.3609756096 634.1414360973502 3424.859349593496 11.289069340984547 0.009030161507228523
32 1991 4410 12.0 E0 119217.1117533718 345.27831057477647 3416.928709055877 12.609153509838894 0.01044587920965894
33 1435 22 2.8284271247461903 E7 50463.2891566265 224.640355138222 3417.9678714859438 13.542561114826581 0.012066542904488331
34 291 2413 13.435028842544403 E1 279086.90226876095 528.2867613983535 3426.8804537521814 11.68565136189449 0.009404594548718758
35 418 3440 12.727922061357855 E0 267140.080882353 516.8559575765312 3430.1645220588234 11.73315236717859 0.00945146564419319
36 305 3616 18.384776310850235 E3 393952.846153846 627.6566307734238 3425.4475524475524 11.311389393917814 0.009050552209408362
37 1324 60 2.0 E7 9717.327433628321 98.57650548497 3428.16814159292 15.331132907752401 0.020827870937532016
